Product ID,Brand,Model,Display Name,Description,Type,Gender,Material,Retail Price,Thumbnail URL,Image 1 URL,Image 2 URL,Image 3 URL,StockX Link,Description Done,Color
P0001,Jordan,Jordan 1 Mid,Jordan 1 Mid Gym Red Black Dark Sea,"Step into iconic style with the Jordan 1 Mid for men. Built from durable leather, this mid-top combines basketball-ready construction with street-ready looks. Designed for basketball use, it offers supportive ankle coverage and a secure fit that works on court or off. Clean lines and classic Jordan styling deliver versatile fashion, while thoughtful padding and a comfortable fit keep you feeling good through games and everyday wear.",Basketball,men,Leather,$170.00 ,https://images.stockx.com/images/Air-Jordan-Nike-Air-Air-Jordan-1-Mid-Gym-Red-Black-Dark-Sea-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-nike-air-air-jordan-1-mid-gym-red-black-dark-sea,TRUE,Red/Black
P0002,adidas,adidas Ultra Boost 21,adidas Ultra Boost 21 Black Pulse Aqua,"The adidas Ultra Boost 21 is a men's running shoe crafted with a breathable Primeknit upper that adapts to your foot for a secure, sock-like fit. Designed for running, it delivers dependable responsiveness and lightweight support mile after mile. Clean, modern lines give it versatile style on and off the road, while the snug Primeknit construction and plush midsole offer lasting comfort during training or daily wear. A sleek choice for runners who value both performance and style.",Running,men,Primeknit,$180.00 ,https://images.stockx.com/images/adidas-Ultra-Boost-21-Black-Pulse-Aqua.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1627580648,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fadidas-ultra-boost-21-black-pulse-aqua,TRUE,Black
P0003,Reebok,Reebok Classic Leather,Reebok Classic Leather White,"Reebok Classic Leather for men blends timeless style with everyday comfort. Crafted in soft leather, the low-profile silhouette pairs clean lines and subtle Reebok branding for versatile casual wear. Built for daily routines, it moves seamlessly from city streets to relaxed weekends, offering a supportive fit and breathable feel. A durable leather upper and grippy sole deliver long-lasting wear, making this casual sneaker a stylish, comfortable staple in any wardrobe.",Casual,men,Leather,$75.00 ,https://images.stockx.com/images/Reebok-Classic-Leather-White-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/Reebok-Classic-Leather-White/Images/Reebok-Classic-Leather-White/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1647033106,https://images.stockx.com/360/Reebok-Classic-Leather-White/Images/Reebok-Classic-Leather-White/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1647033106,https://images.stockx.com/360/Reebok-Classic-Leather-White/Images/Reebok-Classic-Leather-White/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1647033106,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Freebok-classic-leather-white,TRUE,White
P0004,Converse,Converse Chuck Taylor Hi,Converse Chuck Taylor Hi Navy,"Classic Converse Chuck Taylor Hi in a men's silhouette brings timeless style and everyday comfort. Built with durable canvas and a high-top profile, these sneakers are ideal for casual wear—pair with jeans or shorts for relaxed, ready-to-go looks. The iconic design and clean lines deliver unmistakable style while the flexible canvas and supportive high-top cut provide all-day comfort. A versatile wardrobe staple that keeps your outfits fresh while staying true to Converse heritage.",Casual,men,Canvas,$55.00 ,https://images.stockx.com/images/Converse-Chuck-Taylor-Hi-Navy.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1626899249,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fconverse-chuck-taylor-hi-navy,TRUE,Navy
P0005,Puma,Puma Future Rider Soft,Puma Future Rider Soft Chalk Pink Anise Flower (Women's),"The Puma Future Rider Soft for women blends retro-inspired style with everyday practicality. Built with a breathable mesh upper, these lifestyle sneakers are perfect for casual, city and weekend wear. The silhouette pairs bold color blocking and clean lines for an on-trend look, while a lightly padded collar and soft insole deliver reliable comfort for all-day strolling. Versatile and easy to style, they add sporty flair to jeans, dresses or athleisure outfits without sacrificing comfort.",Lifestyle,women,Mesh,$80.00 ,https://images.stockx.com/images/Puma-Future-Rider-Soft-Chalk-Pink-Anise-Flower-W.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1661781870,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fpuma-future-rider-soft-chalk-pink-anise-flower-w,TRUE,Pink
P0006,Vans,Vans Old Skool,Vans Old Skool Black White,"The Vans Old Skool in black/white is a low-top sneaker with a black canvas upper and white leather stripe detailing on both lateral and medial sides. It rides on a white-and-gum waffle cup sole and features a red branded heel patch. Materials include a canvas upper, leather stripe, and rubber waffle sole. The contrast colorway creates a classic monochrome look.",Skate,men,Suede/Canvas,$65.00 ,https://images.stockx.com/images/Vans-Old-Skool-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/Vans-Old-Skool-Black-White/Images/Vans-Old-Skool-Black-White/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1635254461,https://images.stockx.com/360/Vans-Old-Skool-Black-White/Images/Vans-Old-Skool-Black-White/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1635254461,https://images.stockx.com/360/Vans-Old-Skool-Black-White/Images/Vans-Old-Skool-Black-White/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1635254461,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fvans-old-skool-black-white,TRUE,Black/White
P0007,New Balance,New Balance 990v5,New Balance 990v5 Grey,"The New Balance 990v5 in grey features a mesh upper with matching suede overlays and translucent TPU side panels. Reflective detailing on the New Balance ""N"" logo and piping enhances visibility in low light. The shoe uses an ENCAP midsole for cushioning and support and includes a durable rubber outsole. Made in the United States, the 990v5 balances breathability and structural support for everyday wear.",Running,men,Suede/Mesh,$175.00 ,https://images.stockx.com/images/New-Balance-990v5-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/New-Balance-990v5-Grey/Images/New-Balance-990v5-Grey/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1634931753,https://images.stockx.com/360/New-Balance-990v5-Grey/Images/New-Balance-990v5-Grey/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1634931753,https://images.stockx.com/360/New-Balance-990v5-Grey/Images/New-Balance-990v5-Grey/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1634931753,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fnew-balance-990v5-grey,TRUE,Grey
P0008,ASICS,ASICS Gel-Kayano 28,ASICS Gel-Kayano 28 French Blue,"The ASICS Gel-Kayano 28 for men is a dependable running shoe that blends modern style with everyday comfort. A breathable mesh upper keeps feet cool while delivering a secure, supportive fit for miles on the road or track. Designed specifically for running, it offers stable movement and a smooth ride without sacrificing looks — versatile enough for training runs and casual wear. Lightweight and refined, this pair brings comfort and on-trend style to your running rotation.",Running,men,Mesh,$160.00 ,https://images.stockx.com/images/ASICS-Gel-Kayano-28-French-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/360/ASICS-Gel-Kayano-28-French-Blue/Images/ASICS-Gel-Kayano-28-French-Blue/Lv2/img01.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1705594791,https://images.stockx.com/360/ASICS-Gel-Kayano-28-French-Blue/Images/ASICS-Gel-Kayano-28-French-Blue/Lv2/img02.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1705594791,https://images.stockx.com/360/ASICS-Gel-Kayano-28-French-Blue/Images/ASICS-Gel-Kayano-28-French-Blue/Lv2/img03.jpg?fm=webp&auto=compress&w=559&q=90&dpr=2&updated_at=1705594791,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fasics-gel-kayano-28-french-blue,TRUE,Blue
P0009,Fila,Fila Disruptor II Mid,Fila Disruptor II Mid White Navy Red (Women's),"The Fila Disruptor II Mid for women brings iconic chunky style to everyday fashion. Built with leather/synthetic materials, this mid-top silhouette blends bold, retro-inspired looks with reliable comfort for city streets and casual outfits. The textured outsole and padded collar create a supportive feel while the distinctive profile elevates streetwear ensembles. Designed as a fashion shoe, it pairs easily with jeans, skirts, and athleisure, offering on-trend style and comfortable wear from day to night.",Fashion,women,Leather/Synthetic,$65.00 ,https://images.stockx.com/images/Fila-Disruptor-II-Mid-White-Navy-Red-Womens.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1733780712,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Ffila-disruptor-ii-mid-white-navy-red-womens,TRUE,White
P0010,Skechers,Skechers Go Run Trail Altitude 2.0 Red Rock,Skechers Go Run Trail Altitude 2.0 Red Rock Navy Blue (Women's),"Skechers Go Run Trail Altitude 2.0 Red Rock women's running shoe blends on-trend style with practical comfort. A breathable mesh upper keeps feet cool while providing a secure fit during runs. Designed for running and active outdoor days, it delivers stable support and reliable traction for varied routes. The streamlined silhouette and bold Red Rock color make it stylish enough for casual wear, while the comfortable construction helps keep feet cushioned and supported mile after mile.",Running,women,Mesh,$110.00 ,https://images.stockx.com/images/Skechers-Go-Run-Trail-Altitude-20-Red-Rock-Navy-Blue-Womens.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1776079176,,,,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fskechers-go-run-trail-altitude-20-red-rock-navy-blue-womens,TRUE,Black
