Product ID,Brand,Model,Display Name,Description,Type,Gender,Material,Retail Price,Colorway,Primary Color,Secondary Color,Thumbnail URL,StockX Link
P0001,Converse,Converse Chuck Taylor All Star 70 Hi,Converse Chuck Taylor All Star 70 Hi Comme des Garcons PLAY Multi-Heart Black,"The Converse Chuck Taylor All Star 70 Hi Comme des Garcons PLAY Multi-Heart Black is part of the creative partnership of Converse and Comme des Garcons, a Tokyo-based streetwear label sought after for its deconstructed aesthetic and monochromatic colorways. The sneaker takes the Chuck Taylor All Star 70 Hi silhouette and applies Comme des Garcons signature heart motifs to the black canvas upper. Each heart comes with eyes and features a bright red hue. Six hearts form a line above the rubber outsole on the later side, while the medial side panel only displays three hearts and the Converse All Star logo. The sneaker features seven pairs of metal eyelets that house off-white laces. Our StockX experts appreciate the contrasting stitching on the upper, which comes in white thread. The Converse Chuck Taylor All Star 70 Hi Comme des Garcons PLAY Multi-Heart Black was launched on October 26th, 2023, and sold for $150.",lifestyle,men,Canvas,150,Black/Red/Egret,Black,Red,https://images.stockx.com/images/Converse-Chuck-Taylor-All-Star-70-Hi-Comme-des-Garcons-PLAY-Multi-Heart-Black-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fconverse-chuck-taylor-all-star-70-hi-comme-des-garcons-play-multi-heart-black
P0002,ASICS,ASICS Gel-NYC RGD,ASICS Gel-NYC RGD Ironclad Black,"The ASICS Gel NYC RGD Ironclad Black blends modern street ready design with classic running cues in a palette that feels rugged and composed. Ironclad tones layer over Black, creating depth across the mesh and synthetic overlays. The chunky midsole and visible cushioning give the silhouette that unmistakable tech runner stance that has defined the Gel NYC line. What makes this pair stand out is its balance between utility and lifestyle. The darker color story gives it a tougher edge, making it easy to integrate into everyday wear without losing performance credibility. Fans of the Gel NYC appreciate how it merges archival inspiration with contemporary proportions, and this Ironclad Black execution feels especially versatile and durable. The ASICS Gel NYC RGD Ironclad Black was released on September 19, 2025 with a retail price of $155.",running,men,"Mesh, Synthetic",155,Ironclad/Black,Grey,Black,https://images.stockx.com/images/ASICS-Gel-NYC-RGD-Ironclad-Black-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1761344954,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fasics-gel-nyc-rgd-ironclad-black
P0003,Jordan,Jordan 1 Low,Jordan 1 Low Black Toe Medium Olive,"Slicker than your average, the Jordan 1 Low Black Toe Medium Olive is an instant classic kick. The perfect lifestyle sneaker to fit the wardrobes of modern streetwear fans, clean lines and simplicity of design make this shoe a must-have for collectors. The bar has been risen with the Air Jordan 1 Lows. In sophisticated olive, black and white on the colorways, the Black Toe Mediu m Olive Jordan 1 Low is as elegant as it is functional. As a low-top, the shoe provides a mature silhouette, whilst still throwing a nod to the athletic stylings of the original Air Jordan shape. The Jumpman logo features on the tongue and the Wings logo is branded on the back heel, making these leather sneakers minimalist and a fantastic heritage addition to your footwear collection. We love the strong, yet understated design of these low Air Jordans. A great pair for your lifestyle sneaker collection, the colors make them suitable for dressier occasions, work, or dates. The Jordan 1 Low Black Toe Medium Olive was released on 20 September 2024, priced at $115.",lifestyle,men,Leather,115,Black/Medium Olive/White,Black,Green,https://images.stockx.com/images/Air-Jordan-1-Low-Black-Toe-Medium-Olive-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-1-low-black-toe-medium-olive
P0004,ASICS,ASICS Gel-1130,ASICS Gel-1130 Black Pure Silver (GS),"The ASICS Gel-1130 Black Pure Silver (GS) brings heritage running style to the everyday pace of growing feet. Inspired by late-2000s performance silhouettes, this grade-school design pairs breathable mesh with sturdy synthetic overlays in a sharp Black/Pure Silver colorway for a sleek, versatile look that moves from classroom to playground with ease. A cushioned midsole with signature GEL technology softens each step, while the supportive build helps keep strides stable during long days on the go. Reflective accents and a layered panel construction add visual depth, delivering a modern twist on a beloved classic. Underfoot, a durable rubber outsole with reliable traction grips sidewalks and gym floors alike, making this model a smart pick for active routines and weekend adventures. The padded tongue and collar enhance all-day comfort, and the streamlined profile slips easily into school and sport rotations. Finished with ASICS branding and the style code 1204A169-001, the Gel-1130 offers an elevated blend of comfort, support, and street-ready appeal that complements everything from uniforms to athletic wear. Whether its daily wear or after-school practice, this pair balances stability and cushioning so kids can focus on fun, not foot fatigue. Our team thinks this product is great for young wearers who need dependable comfort, standout style, and day-to-day durability in one easy choice.",running,kids,"Mesh, Synthetic",85,Black/Pure Silver,Black,Silver,https://images.stockx.com/images/ASICS-Gel-1130-Black-Pure-Silver-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1752721162,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fasics-gel-1130-black-pure-silver-gs
P0005,Jordan,Jordan 1 Retro Low OG,Jordan 1 Retro Low OG Zion Williamson Voodoo Alternate (GS),"The Air Jordan 1 Retro Low OG Zion Williamson Voodoo Alternate GS expands the Voodoo universe with a darker and more mysterious twist that feels deeply connected to Zions storytelling approach. The mix of purple, green, and black creates a layered and almost ritualistic vibe, giving the shoe personality far beyond a standard colorway. In grade school sizing, the design still carries the same intrigue and depth as the adult versions. Collectors love this pair because it treats the Jordan 1 as a narrative canvas. The Voodoo theme rewards attention to detail, appealing to fans who appreciate symbolism and mood in sneaker design. It stands out as one of those releases that feels intentionally strange and expressive, offering younger collectors a chance to own a truly character driven Jordan that breaks from tradition while still respecting the silhouettes roots. The Air Jordan 1 Retro Low OG Zion Williamson Voodoo Alternate GS was released on October 29, 2025 with a retail price of $120.",lifestyle,kids,"Suede, Canvas",120,Regency Purple/Vapor Green/Black/Dark Raisin/Daybreak/Light Silver,Purple,Green,https://images.stockx.com/images/Air-Jordan-1-Retro-Low-OG-Zion-Williamson-Voodoo-Alternate-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1761920421,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-1-retro-low-og-zion-williamson-voodoo-alternate-gs
P0006,Jordan,Jordan 6 Retro,Jordan 6 Retro Red Oreo,"The Air Jordan 6 Red Oreo features a white tumbled leather and perforated Durabuck construction with a matching mesh and rubber tongue. Hits of red with white speckles on the heel tab and midsole nod to the spray-paint styling of the 2010 Air Jordan 6 Oreo. From there, an icy semi translucent outsole completes the design. The Air Jordan 6 Red Oreo released in June of 2022 and retailed for $200.",basketball,men,Leather,200,White/University Red-Black,White,Black,https://images.stockx.com/images/Air-Jordan-6-Retro-Red-Oreo-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-6-retro-red-oreo
P0007,Jordan,Jordan 40,Jordan 40 Dusty Rose,"The Air Jordan 40 Dusty Rose introduces a refined and contemporary tone to the latest chapter in the Jordan performance lineage. Light arctic pink wraps the upper with a soft yet confident presence, balanced by anthracite and black accents that anchor the silhouette in modern contrast. The design feels sleek and forward thinking, blending streamlined proportions with layered detailing that highlights the evolution of Jordan Brands basketball identity. It carries a calm but commanding energy that feels intentional rather than flashy. Collectors appreciate the Jordan 40 for marking a milestone moment in the franchises progression. The dusty rose inspired palette gives this iteration personality without overwhelming its performance roots. Fans gravitate toward the balance of subtle color and bold structure, making it wearable both on and off the court. It stands as a statement of growth within the Jordan line, pairing innovation with expressive but controlled color storytelling. The Air Jordan 40 Dusty Rose was released on September 20, 2025 with a retail price of $205.",basketball,men,"Synthetic, Mesh",205,Light Arctic Pink/Anthracite/Black,Pink,Black,https://images.stockx.com/images/Air-Jordan-40-Dusty-Rose-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1758920966,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-40-dusty-rose
P0008,adidas,adidas Adizero Adios Pro 4,adidas Adizero Adios Pro 4 White Black Red (Women's),"The adidas adizero adios pro 4 White Black Red Womens delivers a classic and high contrast color combination on a performance focused silhouette built for speed. The cloud white base provides a clean and bright look, while core black and red accents add structure and energy across the design. The overall feel is sharp and balanced, emphasizing both form and function. Fans of the Adios Pro line appreciate how traditional color combinations like this keep the design timeless while still delivering top tier performance. The mix of white, black, and red creates a familiar and versatile look. It is a sneaker that reflects consistency and innovation within adidas running lineup. The adidas adizero adios pro 4 White Black Red Womens was released on November 8, 2024 with a retail price of $250.",running,women,"Knit, Synthetic",250,Cloud White/Core Black/Silver Metallic,White,Black,https://images.stockx.com/images/adidas-adizero-adios-pro-4-White-Black-Red-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1781187807,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fadidas-adizero-adios-pro-4-white-black-red-womens
P0009,Jordan,Jordan 5 Retro,Jordan 5 Retro Tokyo T23 (2025),"The Jordan 5 Retro Tokyo T23 (2025) carries one of the most legendary stories in sneaker history. First seen in 2011 as a tribute to the opening of the Jordan Tokyo23 boutique in Japan, the silhouette instantly became a grail thanks to its striking design and extreme rarity. The 2025 reissue draws inspiration not only from that release but also from the unreleased ""Yellow Toe"" sample that surfaced during the original run, giving fans a long-awaited chance to lace up a piece of sneaker lore. With a vivid yellow suede upper, this Jordan 5 Retro commands attention from every angle. Contrasting wolf grey hits at the tongue, side netting, and eyelets create balance against the bold base, while black accents on the laces, heel, and iconic shark tooth midsole bring in sharp definition. A standout detail is the embroidered Kanji character on the heel, a nod to its Japanese roots and a detail that cements its place as one of the most culturally significant Air Jordan 5 colorways. This mix of bright tones, subtle neutrals, and symbolic branding makes the Tokyo T23 unlike anything else in the Jordan archive. The Jordan 5 Retro Tokyo T23 (2025) released on September 27, 2025, at a retail price of $215. Arriving in a yellow, multi-color palette with wolf grey and black accents, this drop bridged past and present with fresh storytelling and timeless design. For collectors and sneaker enthusiasts alike, this pair represents more than a colorway. its a continuation of one of the most celebrated chapters in Jordan Brand history.",basketball,men,Suede,215,Yellow/Multi-Color,Yellow,Other,https://images.stockx.com/images/Air-Jordan-5-Retro-Tokyo-T23-2025-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1759266602,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-5-retro-tokyo-t23-2025
P0010,Jordan,Jordan 12 Retro,Jordan 12 Retro Blueberry,"The Air Jordan 12 Retro Blueberry reimagines an iconic design with a fresh twist, fusing heritage and modernity in a bold new colorway. Inspired by the original Cherry Air Jordan 12, this version trades vibrant red for an eye-catching game royal blue, paired with a clean white upper and subtle black accents. The smooth white leather upper provides a crisp canvas, while textured overlays and silver metal eyelets bring the classic silhouette to life. Every detail of the Blueberry speaks to Jordan Brands unmatched craftsmanship. Black hits on the tongue, inner lining, and heel tab add contrast, while game royal blue pops on branding elements and textured mudguardsgiving the sneaker its ""Blueberry"" moniker. The result is a harmonious balance of style and functionality, perfect for fans looking to elevate their collection or turn heads on the streets. Set to release on December 18, 2024, the Air Jordan 12 Retro Blueberry carries a retail price of $210. This fresh take on the classic Air Jordan 12 combines nostalgia and innovation, making it an essential pick for sneakerheads and collectors alike.",basketball,men,Leather,210,White/Black-Game Royal,White,Black,https://images.stockx.com/images/Air-Jordan-12-Retro-Blueberry-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://stockx.pvxt.net/c/4722526/1023711/9060?u=https%3A%2F%2Fstockx.com%2Fair-jordan-12-retro-blueberry
